"deviceid","firstTime","Version1Grouper","Version2Grouper","newVersion1","newVersion2"
"BOBW","2/4/02 10:48 AM","1","0","v7","null"
"BWAE","10/17/01 12:15 PM","1","1","v1","vv6"
"CFVI","1/10/02 10:22 AM","1","1","v5","vv9"
"DBEU","12/31/01 11:43 AM","1","1","v4","vv9"
"ETDF","2/25/02 8:36 PM","1","1","v7","vv3"
"FDXU","1/1/02 10:20 AM","1","1","v4","vv9"
"FSQP","11/11/01 10:24 AM","1","0","v2","null"
"FSQP","11/11/01 10:34 AM","1","1","v2","vv8"
"FTWP","12/5/01 10:20 AM","1","1","v3","vv7"
"FVPD","10/24/01 10:39 AM","1","0","v1","null"
"FWPG","10/25/01 10:20 AM","1","1","v1","vv5"
"GHKW","11/1/01 10:22 AM","1","0","v2","null"
"GHKW","11/1/01 10:25 AM","1","1","v2","vv5"
"GSQT","11/4/01 10:50 AM","1","1","v2","vv5"
"HNNS","12/5/01 11:15 AM","1","0","v3","null"
"HNNS","12/5/01 11:17 AM","1","1","v3","vv7"
"HSTL","11/10/01 10:22 AM","1","0","v2","null"
"HSTL","11/10/01 10:33 AM","1","1","v2","vv8"
"HVEQ","11/20/01 8:32 PM","1","1","v3","vv2"
"HYVJ","11/3/01 10:22 AM","1","0","v2","null"
"HYVJ","11/3/01 10:23 AM","1","1","v2","vv5"
"ILEM","10/17/01 10:36 PM","1","0","v1","null"
"IMVT","10/31/01 10:22 AM","1","1","v2","vv5"
"IPUU","1/10/02 11:12 AM","1","0","v5","null"
"IPUU","1/10/02 11:22 AM","1","1","v5","vv9"
"IRCT","12/28/01 10:21 AM","1","1","v4","vv9"
"JJCW","2/25/02 2:10 PM","1","1","v6","vv11"
"JJHL","1/8/02 11:16 AM","1","0","v5","null"
"JJHL","1/8/02 11:18 AM","1","1","v5","vv9"
"JQKG","12/27/01 10:20 AM","1","1","v4","vv9"
"JVOV","1/2/02 10:57 AM","1","0","v4","null"
"JVOV","1/2/02 10:58 AM","1","1","v4","vv9"
"KSEB","11/19/01 2:13 PM","1","1","v3","vv8"
"LABF","1/1/02 11:23 PM","1","1","v4","vv9"
"LCBH","1/24/02 10:23 AM","1","0","v6","null"
"LCBH","1/24/02 10:26 AM","1","1","v6","vv10"
"LIHQ","2/4/02 10:24 AM","1","1","v7","vv10"
"LUWP","2/14/02 10:23 AM","1","1","v7","vv10"
"MEXV","11/19/01 10:19 AM","1","0","v3","null"
"MEXV","11/19/01 10:20 AM","1","1","v3","vv8"
"MNAG","11/12/01 4:39 PM","1","1","v2","vv8"
"NDFE","12/6/01 11:33 AM","1","1","v3","vv7"
"NYKK","1/9/02 12:08 PM","1","1","v5","vv9"
"ODOI","2/25/02 10:40 AM","1","1","v6","vv11"
"OTAE","10/29/01 10:21 AM","1","0","v2","null"
"OTAE","10/29/01 10:25 AM","1","1","v2","vv5"
"OZPY","2/20/02 10:22 AM","1","0","v7","null"
"OZPY","2/20/02 10:43 AM","1","1","v7","vv10"
"PMEQ","1/16/02 11:49 AM","1","1","v5","vv9"
"PYLV","10/31/01 11:28 AM","1","0","v2","null"
"PYLV","10/31/01 11:29 AM","1","1","v2","vv5"
"PYTA","11/12/01 10:22 AM","1","0","v2","null"
"PYTA","11/12/01 10:26 AM","1","1","v2","vv8"
"QLLA","1/27/02 4:07 PM","1","0","v6","null"
"QLLA","1/27/02 4:09 PM","1","1","v6","vv10"
"QWSR","10/16/01 11:58 AM","1","1","v1","vv4"
"SPPW","11/29/01 10:19 AM","1","0","v3","null"
"SPPW","11/29/01 10:20 AM","1","1","v3","vv7"
"UATV","12/1/01 4:18 PM","1","1","v3","vv1"
"UCCY","2/22/02 10:25 AM","1","1","v7","vv10"
"UQWG","1/17/02 10:24 AM","1","1","v5","vv9"
"VMQV","1/15/02 11:27 AM","1","0","v5","null"
"VMQV","1/15/02 11:32 AM","1","1","v5","vv9"
"VYOR","10/19/01 11:01 AM","1","1","v1","vv6"
"WQUE","1/18/02 10:23 AM","1","1","v5","vv9"
"YDIY","12/29/01 10:22 AM","1","1","v4","vv9"
"ZOPA","2/24/02 10:23 AM","1","1","v7","vv10"
